item,week_end_date,weekly_qty
Lentil soup,2026-01-18,6
Lentil soup,2026-01-25,6
Lentil soup,2026-02-01,7
Lentil soup,2026-02-08,6
Lentil soup,2026-02-15,10
Lentil soup,2026-02-22,2
Lentil soup,2026-03-01,8
Lentil soup,2026-03-08,0
Lentil soup,2026-03-15,10
Lentil soup,2026-03-22,8
Lentil soup,2026-03-29,3
Pani Puri 12 Balls,2026-01-18,9
Pani Puri 12 Balls,2026-01-25,6
Pani Puri 12 Balls,2026-02-01,5
Pani Puri 12 Balls,2026-02-08,10
Pani Puri 12 Balls,2026-02-15,11
Pani Puri 12 Balls,2026-02-22,4
Pani Puri 12 Balls,2026-03-01,12
Pani Puri 12 Balls,2026-03-08,0
Pani Puri 12 Balls,2026-03-15,13
Pani Puri 12 Balls,2026-03-22,6
Pani Puri 12 Balls,2026-03-29,6
Pani Puri 5 Balls,2026-01-18,6
Pani Puri 5 Balls,2026-01-25,3
Pani Puri 5 Balls,2026-02-01,5
Pani Puri 5 Balls,2026-02-08,8
Pani Puri 5 Balls,2026-02-15,4
Pani Puri 5 Balls,2026-02-22,7
Pani Puri 5 Balls,2026-03-01,4
Pani Puri 5 Balls,2026-03-08,0
Pani Puri 5 Balls,2026-03-15,8
Pani Puri 5 Balls,2026-03-22,5
Pani Puri 5 Balls,2026-03-29,14
Pepsi Lemonade,2026-01-18,3
Pepsi Lemonade,2026-01-25,1
Pepsi Lemonade,2026-02-01,4
Pepsi Lemonade,2026-02-08,1
Pepsi Lemonade,2026-02-15,1
Pepsi Lemonade,2026-02-22,3
Pepsi Lemonade,2026-03-01,2
Pepsi Lemonade,2026-03-08,0
Pepsi Lemonade,2026-03-15,4
Pepsi Lemonade,2026-03-22,1
Pepsi Lemonade,2026-03-29,2
Strawberry yogurt,2026-01-18,8
Strawberry yogurt,2026-01-25,7
Strawberry yogurt,2026-02-01,6
Strawberry yogurt,2026-02-08,5
Strawberry yogurt,2026-02-15,0
Strawberry yogurt,2026-02-22,0
Strawberry yogurt,2026-03-01,0
Strawberry yogurt,2026-03-08,0
Strawberry yogurt,2026-03-15,0
Strawberry yogurt,2026-03-22,0
Strawberry yogurt,2026-03-29,0
Water,2026-01-18,2
Water,2026-01-25,8
Water,2026-02-01,0
Water,2026-02-08,0
Water,2026-02-15,0
Water,2026-02-22,1
Water,2026-03-01,1
Water,2026-03-08,0
Water,2026-03-15,1
Water,2026-03-22,1
Water,2026-03-29,0
