item,week_end_date,weekly_qty
Lentil soup,2025-10-19,6
Lentil soup,2025-10-26,6
Lentil soup,2025-11-02,7
Lentil soup,2025-11-09,6
Lentil soup,2025-11-16,0
Lentil soup,2025-11-23,10
Lentil soup,2025-11-30,2
Lentil soup,2025-12-07,8
Lentil soup,2025-12-14,10
Lentil soup,2025-12-21,2
Lentil soup,2025-12-28,0
Lentil soup,2026-01-04,6
Lentil soup,2026-01-11,1
Lentil soup,2026-01-18,6
Lentil soup,2026-01-25,6
Lentil soup,2026-02-01,7
Lentil soup,2026-02-08,6
Lentil soup,2026-02-15,10
Lentil soup,2026-02-22,2
Lentil soup,2026-03-01,8
Pani Puri 12 Balls,2025-10-19,9
Pani Puri 12 Balls,2025-10-26,6
Pani Puri 12 Balls,2025-11-02,5
Pani Puri 12 Balls,2025-11-09,10
Pani Puri 12 Balls,2025-11-16,0
Pani Puri 12 Balls,2025-11-23,11
Pani Puri 12 Balls,2025-11-30,4
Pani Puri 12 Balls,2025-12-07,12
Pani Puri 12 Balls,2025-12-14,13
Pani Puri 12 Balls,2025-12-21,6
Pani Puri 12 Balls,2025-12-28,0
Pani Puri 12 Balls,2026-01-04,0
Pani Puri 12 Balls,2026-01-11,1
Pani Puri 12 Balls,2026-01-18,9
Pani Puri 12 Balls,2026-01-25,6
Pani Puri 12 Balls,2026-02-01,5
Pani Puri 12 Balls,2026-02-08,10
Pani Puri 12 Balls,2026-02-15,11
Pani Puri 12 Balls,2026-02-22,4
Pani Puri 12 Balls,2026-03-01,12
Pani Puri 5 Balls,2025-10-19,6
Pani Puri 5 Balls,2025-10-26,3
Pani Puri 5 Balls,2025-11-02,5
Pani Puri 5 Balls,2025-11-09,8
Pani Puri 5 Balls,2025-11-16,0
Pani Puri 5 Balls,2025-11-23,4
Pani Puri 5 Balls,2025-11-30,7
Pani Puri 5 Balls,2025-12-07,4
Pani Puri 5 Balls,2025-12-14,8
Pani Puri 5 Balls,2025-12-21,5
Pani Puri 5 Balls,2025-12-28,0
Pani Puri 5 Balls,2026-01-04,0
Pani Puri 5 Balls,2026-01-11,5
Pani Puri 5 Balls,2026-01-18,6
Pani Puri 5 Balls,2026-01-25,3
Pani Puri 5 Balls,2026-02-01,5
Pani Puri 5 Balls,2026-02-08,8
Pani Puri 5 Balls,2026-02-15,4
Pani Puri 5 Balls,2026-02-22,7
Pani Puri 5 Balls,2026-03-01,4
Pepsi Lemonade,2025-10-19,3
Pepsi Lemonade,2025-10-26,1
Pepsi Lemonade,2025-11-02,4
Pepsi Lemonade,2025-11-09,1
Pepsi Lemonade,2025-11-16,0
Pepsi Lemonade,2025-11-23,1
Pepsi Lemonade,2025-11-30,3
Pepsi Lemonade,2025-12-07,2
Pepsi Lemonade,2025-12-14,4
Pepsi Lemonade,2025-12-21,1
Pepsi Lemonade,2025-12-28,0
Pepsi Lemonade,2026-01-04,0
Pepsi Lemonade,2026-01-11,0
Pepsi Lemonade,2026-01-18,3
Pepsi Lemonade,2026-01-25,1
Pepsi Lemonade,2026-02-01,4
Pepsi Lemonade,2026-02-08,1
Pepsi Lemonade,2026-02-15,1
Pepsi Lemonade,2026-02-22,3
Pepsi Lemonade,2026-03-01,2
Strawberry yogurt,2025-10-19,8
Strawberry yogurt,2025-10-26,7
Strawberry yogurt,2025-11-02,6
Strawberry yogurt,2025-11-09,5
Strawberry yogurt,2025-11-16,0
Strawberry yogurt,2025-11-23,0
Strawberry yogurt,2025-11-30,0
Strawberry yogurt,2025-12-07,0
Strawberry yogurt,2025-12-14,0
Strawberry yogurt,2025-12-21,0
Strawberry yogurt,2025-12-28,0
Strawberry yogurt,2026-01-04,0
Strawberry yogurt,2026-01-11,0
Strawberry yogurt,2026-01-18,8
Strawberry yogurt,2026-01-25,7
Strawberry yogurt,2026-02-01,6
Strawberry yogurt,2026-02-08,5
Strawberry yogurt,2026-02-15,0
Strawberry yogurt,2026-02-22,0
Strawberry yogurt,2026-03-01,0
Water,2025-10-19,2
Water,2025-10-26,8
Water,2025-11-02,0
Water,2025-11-09,0
Water,2025-11-16,0
Water,2025-11-23,0
Water,2025-11-30,1
Water,2025-12-07,1
Water,2025-12-14,1
Water,2025-12-21,1
Water,2025-12-28,0
Water,2026-01-04,0
Water,2026-01-11,0
Water,2026-01-18,2
Water,2026-01-25,8
Water,2026-02-01,0
Water,2026-02-08,0
Water,2026-02-15,0
Water,2026-02-22,1
Water,2026-03-01,1
