item,week_end_date,weekly_qty
Lentil soup,2026-01-18,6.0
Lentil soup,2026-01-25,6.0
Lentil soup,2026-02-01,7.0
Lentil soup,2026-02-08,6.0
Lentil soup,2026-02-15,10.0
Lentil soup,2026-02-22,2.0
Lentil soup,2026-03-01,8.0
Paneer Meal plate,2026-01-18,6.0
Paneer Meal plate,2026-01-25,10.0
Paneer Meal plate,2026-02-01,7.0
Paneer Meal plate,2026-02-08,8.0
Paneer Meal plate,2026-02-15,5.0
Paneer Meal plate,2026-02-22,7.0
Paneer Meal plate,2026-03-01,10.0
Pani Puri 12 Balls,2026-01-18,9.0
Pani Puri 12 Balls,2026-01-25,6.0
Pani Puri 12 Balls,2026-02-01,5.0
Pani Puri 12 Balls,2026-02-08,10.0
Pani Puri 12 Balls,2026-02-15,11.0
Pani Puri 12 Balls,2026-02-22,4.0
Pani Puri 12 Balls,2026-03-01,12.0
Pani Puri 5 Balls,2026-01-18,6.0
Pani Puri 5 Balls,2026-01-25,3.0
Pani Puri 5 Balls,2026-02-01,5.0
Pani Puri 5 Balls,2026-02-08,8.0
Pani Puri 5 Balls,2026-02-15,4.0
Pani Puri 5 Balls,2026-02-22,7.0
Pani Puri 5 Balls,2026-03-01,4.0
Pepsi Lemonade,2026-01-18,3.0
Pepsi Lemonade,2026-01-25,1.0
Pepsi Lemonade,2026-02-01,4.0
Pepsi Lemonade,2026-02-08,1.0
Pepsi Lemonade,2026-02-15,1.0
Pepsi Lemonade,2026-02-22,3.0
Pepsi Lemonade,2026-03-01,2.0
Strawberry yogurt,2026-01-18,8.0
Strawberry yogurt,2026-01-25,7.0
Strawberry yogurt,2026-02-01,6.0
Strawberry yogurt,2026-02-08,15.0
Strawberry yogurt,2026-02-15,7.0
Strawberry yogurt,2026-02-22,5.0
Strawberry yogurt,2026-03-01,11.0
